,state,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Malignant neoplasms (C00-C97),Chronic lower respiratory diseases (J40-J47),Cerebrovascular diseases (I60-I69),Alzheimer disease (G30),Septicemia (A40-A41),Diabetes mellitus (E10-E14),Influenza and pneumonia (J09-J18),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
0,Alabama,2.6453208004321165,2.089085020352867,0.6816079015193833,0.5876335382713334,0.48624182849919995,0.20775348328695,0.24268043513688334,0.21604347604088334,1.3653700361783,1.2750088122096
1,Alaska,1.0672813982882667,1.2322733569603832,0.011735175665352024,0.004527038077737432,0.0,0.0,0.0,0.0,0.24679877445999998,0.1949846671148
2,Arizona,1.7259331968359,1.7197214645865166,0.5322691713018167,0.37225643765386673,0.4222447949929333,0.02848567464668598,0.2942340031336333,0.11891491949434857,1.3388795808209,1.2319090451208001
3,Arkansas,2.66137551509785,2.1584530697177664,0.7654881453450166,0.5104936356338667,0.47170817038483337,0.08338575530855782,0.3396788681820833,0.17588711157126666,1.3604407602263,1.1954080392518
4,California,1.5677741908867333,1.5216590047635499,0.34351606653618333,0.3998407105334,0.39546359339358333,0.037582843622358295,0.23409016434175,0.15739228183686665,0.8844100049716,0.8267189954388999
5,Colorado,1.3256664813117334,1.405680121233,0.4618095185184667,0.35121106994705004,0.3069935184087833,0.04799078827959149,0.17023244445736666,0.08003593386663858,0.889029141381,0.7741983756036
6,Connecticut,2.004020943650767,1.8619605017650167,0.3955930826515667,0.37976038107936666,0.27747895434573333,0.13508147436008333,0.17673117158471666,0.1444302636878833,1.7551575953481,1.6331368429459001
7,Delaware,2.0757703463222166,2.154214993779517,0.335969628203,0.4159885306566833,0.08801104958861747,0.0,0.011047778554391416,0.01153993527631886,1.0313673041412,0.9101488158974
8,District of Columbia,2.138552110877283,1.8780427466293332,0.0,0.10298513739460102,0.0,0.0,0.0026132722872927025,0.002375702079357002,1.3443647622707,1.2254457649609
9,Florida,2.24466944026,2.136851803693033,0.5813414201667667,0.59153969151435,0.3226101491733833,0.11692443257011667,0.28340713468165,0.13780711600679998,1.0258523616681001,0.9149330907007001
10,Georgia,1.7743344925795999,1.6776966594717666,0.45721071510356665,0.4182988620311,0.3807137665838166,0.15659515778471667,0.22420996224818332,0.1424675168548,0.9956209482008,0.9092684515214
11,Hawaii,1.8128300019397,1.7134327829033167,0.06828749646335475,0.4896459675859667,0.1524055841557383,0.0,0.017364164494306958,0.2383943331964,0.1930911837039,0.1697278376329
12,Idaho,1.7216585883145334,1.7006793754021503,0.51689455735085,0.3594895779185833,0.25643365438418025,0.0,0.09353766403173654,0.025466484311508893,0.8188761278576999,0.7242649417706001
13,Illinois,1.9308868220107336,1.8562605997036168,0.4277203073044,0.4375787687811166,0.29534524353163333,0.13181637606126667,0.21481574817443333,0.17781472191661668,1.3215211260746,1.2017943715625
14,Indiana,2.1614270484121834,2.0212225845248,0.6651943371752166,0.46983309265414996,0.3885465258354167,0.18197411059773333,0.30768507800075,0.1535745276564167,1.4662086723391001,1.3304786304028
15,Iowa,2.2283836666285666,2.04169865360605,0.6152873962777333,0.4460410723366667,0.45037752193469993,0.017332864633542645,0.29682402393251667,0.12647626351004987,1.5133045738596,1.3738222757304
16,Kansas,1.9192558160645,1.8212947936140331,0.5850797093412834,0.43155593311738333,0.2872077720601667,0.0218949401240587,0.24416117913306662,0.13512578552678334,1.2120985200212,1.1110052146445
17,Kentucky,2.3237610917253333,2.306190722559533,0.7621158962143,0.4661219866981333,0.36867225605178333,0.19751846169181667,0.32770740070716664,0.20051752131213332,1.0446452112327,0.9394483065961
18,Louisiana,2.3731118191743836,2.0120749663789,0.4877651372173667,0.5108340529644166,0.44259049442021664,0.22732167951798335,0.28511533060041666,0.14750643583346668,1.5309944249989,1.4096914029649
19,Maine,2.163489836927417,2.4560573832736003,0.7102552690228833,0.42638988090703334,0.28396518158803336,0.0,0.1622061697313,0.059319779232238724,0.2635135085539,0.2290145255398
20,Maryland,1.91198519656445,1.7836320329002833,0.34603474791138333,0.4448511464084334,0.18457448798221665,0.15278672554118333,0.2297300261027667,0.16461171941135,1.1034082623521,0.9866891665251999
21,Massachusetts,1.7652227906179168,1.9128994914508335,0.4052479233681167,0.3597185866468333,0.25688852658335,0.1333100763956,0.19451046662276666,0.20560956077450002,1.4682961406229,1.3519363030886
22,Michigan,2.490227528206,2.0705171592694667,0.5621569588683333,0.48378706892343337,0.41215676937461665,0.12064450977561667,0.27804373383438336,0.1776344838672,1.2397131740537,1.1303588221921
23,Minnesota,1.4440822382899334,1.7962052867727167,0.42109461006986665,0.40199616418788336,0.39155974109261665,0.029406196379609867,0.23085912965643332,0.08279736503680989,1.036538371897,0.907036790015
24,Mississippi,2.58581630414995,2.134267523324267,0.6655046203820333,0.5490927078162167,0.49207278580113334,0.12189879620644273,0.36729970798153333,0.24716921435111666,1.7708564441243,1.5685789822573
25,Missouri,2.477105969669833,2.2022513876770167,0.64959197114455,0.5349039946829833,0.39809148175936665,0.1478437621449,0.2566367005491167,0.21605420833203332,1.3311317316751,1.2136645960714
26,Montana,2.0853508090606665,1.9747570695286498,0.6325379329624,0.21834439153403334,0.03147640099519476,0.0,0.03064649427604427,0.018109071795899163,1.1372178284027,0.9997924784984
27,Nebraska,1.8337788986648331,1.8531592145499334,0.6065817444513333,0.39450926466781666,0.2924098613761833,0.0008746078258508886,0.19932499381716665,0.08710075879433289,1.1531967306719,1.0313514527627
28,Nevada,2.2284558692460834,1.7572031658265501,0.5679441104493667,0.4040440304041667,0.2255603384095833,0.002416485126808333,0.1557095918072685,0.1708558558542203,1.1576318344245,1.0829043481733
29,New Hampshire,1.9398391524954335,1.9753452313557665,0.4933379784618667,0.19333188129953335,0.16749702570448335,0.0,0.03178504689361328,0.026701427198506305,0.5662312735339,0.49654127063740006
30,New Jersey,2.0823777199816,1.7905873802276,0.3518565942847666,0.38116818432625005,0.2783555724176667,0.21476566424141666,0.21768621443093333,0.1449153629198,1.9738413007909998,1.8116062945029001
31,New Mexico,1.7741024209648,1.65655722239425,0.5278133701699499,0.3614556293330001,0.17333192463590003,0.0016712958778777893,0.26146698935295,0.05497483129376291,1.3784980746361999,1.2986878058409002
32,New York,1.34704148383085,1.1060888934668167,0.2658261007716,0.21710228213393334,0.11296751340347656,0.08862651801274983,0.11982438994348334,0.1308602050392,0.8161376556469,0.7507951612298
33,North Carolina,1.8373586513485,1.9439071099172,0.5234093366787167,0.4932297088741834,0.40080897163623336,0.14957131724683334,0.2829363987745833,0.19415776275086666,0.8633647872844,0.7789728669918
34,North Dakota,1.9615554841424498,1.8428693741915,0.15477926112480406,0.1615652633686,0.15719370920528333,0.0,0.008118502411176544,0.017504597742192925,1.8354652968704002,1.6467845985208
35,Ohio,2.4099414447039,2.1797218292834333,0.6141560490519666,0.5326150945302334,0.42527686942006665,0.1670607650674,0.31838869448496665,0.1948407396824833,1.3065865454044001,1.1785297074914
36,Oklahoma,2.6102112802812667,2.042622453569567,0.72408080973685,0.4588759672318333,0.4002798449589333,0.043823535214804185,0.33860179674089996,0.1238997031673575,1.3572924667237,1.1779702390769
37,Oregon,1.6693716801988498,1.9624036033558836,0.49444831441551673,0.48173829954816666,0.42808724206480003,0.0018868907131944135,0.29160584031133335,0.07008129516242322,0.3853909228047,0.33417853441
38,Pennsylvania,2.5232232909444665,2.235471032944983,0.5104154190431,0.5311329776272667,0.3139959795776833,0.18905289593723332,0.28821191956063336,0.21096810537888333,1.4450075753497,1.3134964276649999
39,Rhode Island,2.2624613445940502,2.1248492854391,0.3055962236304333,0.21250577032860002,0.22309218606293332,0.0,0.012143767864552955,0.021772062836350095,1.7140841951594998,1.4361492246525
40,South Carolina,2.03725433876015,2.0000572835001167,0.5736201187511333,0.5159815302245501,0.47627016044965004,0.16247004571425,0.28645029409295,0.12245461160241274,1.135114805824,1.0321534456400001
41,South Dakota,2.044900421144,1.961618164425033,0.3405215457668833,0.20976834336599998,0.26400416429963336,0.0,0.02922547518023088,0.019605783415012883,1.8812023002998,1.7402249096898
42,Tennessee,2.4857615639529165,2.224611230564183,0.6849709035264666,0.5739029685445166,0.49103859066241673,0.15294707632408333,0.2967817228456333,0.25642639131655,1.1755445068905999,1.0797529678013
43,Texas,1.5993704704997165,1.4511884959732668,0.3738163147651167,0.38267120885001665,0.32320754266535,0.14884661473961666,0.209797066008,0.11623515614596666,1.1709524333169,1.0957778909646
44,Utah,1.2335379935203332,1.0598283243911333,0.2690581128350833,0.303360694682,0.28772578175261665,0.001074907509583338,0.17695142537208333,0.05424239456680778,0.508005829535,0.4361758837222
45,Vermont,2.0852671493026333,2.1706395739890167,0.12677184858176033,0.019749912368849997,0.09690659099544403,0.0,0.0,0.0026657453850615896,0.1663875399057,0.1492822787939
46,Virginia,1.6965832539027665,1.75391715522205,0.3917773357691333,0.41648553015051665,0.2807349252831167,0.13962587104585,0.24308098645363332,0.14617549799633334,0.7283876426435,0.6711547023753001
47,Washington,1.5338230755152167,1.72942192102805,0.41604011995515006,0.3905184512033833,0.48031496632485,0.04866610673561029,0.24023596160245,0.10741299231032037,0.4866792009272,0.4316520059424
48,West Virginia,2.582437022726767,2.545348142481167,0.8953410410018,0.5521670593594167,0.3579132514290333,0.037179399981475444,0.4686271883489,0.12488852564581675,0.8719329035365,0.7888651269208
49,Wisconsin,2.0181953385307834,1.9716978098511833,0.48701565732418334,0.43350878780571667,0.38901274666333335,0.0652419294253109,0.24902753106695,0.15658246429318332,1.0809814789238001,0.9308215968256
50,Wyoming,1.6939757317307833,1.5155547620651335,0.1630433124919811,0.0031676973201856615,0.005770996472189856,0.0,0.0,0.0,0.7211567631849,0.6292786178753
